Entidad,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Araba,5369,4580,4065,3015,2571,2119,1870,2459,4498,6519,9903
Bizkaia,10433,10287,10331,11008,10983,10369,9469,8428,9360,9989,10012
CAE,22736,21340,21384,21051,20896,19014,17232,16485,20059,24119,28806
Gipuzkoa,6961,6485,7002,7032,7344,6528,5895,5600,6212,7625,8934
