,Territorio,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,CAE,628.6113525,638.7362875000001,667.3065,688.9640024999999,702.3347925,709.4131650000002,735.0883125,776.31349,795.72147
1,Araba,544.793245,559.1654575,592.3946450000001,621.5166875,634.33848,644.8322375,678.0044375,718.34309,723.885465
2,Bizkaia,644.1697675,655.916545,690.2341625,713.6665875000001,729.8413424999999,737.4609525,762.3923849999999,809.1443624999999,828.9826324999999
3,Gipuzkoa,642.5502349999999,650.2126225000001,671.5565174999999,690.769225,700.0959725,706.9870675,731.4643124999999,770.0088525000001,792.404865
