Territorio,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Araba,11.19,10.57,9.98,9.69,9.88,9.28,8.67,8.85,8.68,8.7,9.5,9.7,10.04,9.39,9.03,8.3,7.22,6.02,5.15,4.3,3.46,2.71
Bizkaia,9.43,8.85,8.05,7.87,7.93,7.04,6.37,6.61,6.27,6.09,6.64,6.96,6.93,6.59,6.17,5.78,5.05,4.17,3.42,2.81,2.22,1.69
CAE,9.84,9.27,8.54,8.34,8.41,7.62,6.98,7.15,6.88,6.71,7.21,7.39,7.34,6.95,6.54,6.12,5.32,4.36,3.61,2.94,2.37,1.84
Gipuzkoa,9.86,9.34,8.63,8.46,8.49,7.78,7.18,7.25,7.03,6.79,7.11,7.05,6.78,6.42,6.02,5.7,4.94,3.93,3.24,2.55,2.14,1.73
