Territorio,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Araba,12.33,12.48,12.49,12.66,12.67,12.69,16.86,16.87,17.08,17.6,27.15,26.97,27.07,27.17,27.28,26.65,26.98,26.59,26.22
Bizkaia,11.71,11.98,12.06,12.02,11.85,12.05,13.15,13.22,13.43,13.32,21.0,21.79,21.67,21.82,21.92,22.24,22.15,21.91,23.78
CAE,11.7,12.1,12.14,12.17,12.12,12.21,14.16,14.09,14.5,14.59,21.99,22.38,22.48,22.58,22.43,22.61,22.62,22.42,23.26
Gipuzkoa,11.02,11.92,11.92,11.92,12.05,11.99,13.16,12.78,13.78,13.83,17.86,18.37,18.86,18.86,17.78,18.43,18.23,18.06,17.96
