Código comarca,Comarca,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0,2014.0,2013.0,2012.0,2011.0,2010.0,2009.0,2008.0,2007.0,2006.0,2005.0,2004.0
20004,Albiztur,19.05,19.05,19.05,19.05,19.05,0.0,0.0,0.0,0.0,0.0,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,0.0
20005,Alegia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.47,20.41,20.41,20.41,20.41,20.41,20.41,20.41,16.13
01001,Alegría-Dulantzi,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,52.68,49.69,49.69,49.69,49.69,49.69,15.24,15.24,15.24,15.24
20006,Alkiza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.22,15.22,13.04,13.04,13.04,15.22,13.04,15.22,15.22
48912,Alonsotegi,6.76,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.25,13.33,13.33,13.33,13.33,13.16,17.35,17.35,17.33,17.33
20906,Altzaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20007,Altzo,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,27.78,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20008,Amezketa,14.02,14.02,14.02,14.02,14.02,14.02,14.02,14.02,14.02,13.66,12.43,12.43,12.43,12.43,12.43,12.36,0.0,0.0,0.0
48003,Amorebieta-Etxano,2.57,2.57,2.57,2.57,2.57,6.98,9.46,9.46,9.42,9.27,24.87,24.94,24.94,24.94,24.95,25.99,26.2,36.75,41.93
48004,Amoroto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01002,Amurrio,21.26,21.26,21.3,21.3,21.3,21.3,23.5,24.24,24.23,27.38,32.15,31.68,31.68,31.68,31.68,31.68,31.49,31.52,31.52
20009,Andoain,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.02,22.02,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89
20010,Anoeta,37.61,37.61,37.61,37.61,30.22,30.22,30.22,30.22,30.22,28.78,23.53,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42
20011,Antzuola,15.18,15.18,15.18,15.03,15.03,15.03,15.03,15.03,15.03,14.74,15.05,15.05,15.05,15.3,15.3,15.14,15.14,14.13,14.13
48005,Arakaldo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20012,Arama,33.33,34.29,34.29,34.29,34.29,34.29,0.0,0.0,0.0,0.0,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78,34.78
01003,Aramaio,5.22,5.22,5.22,5.25,5.25,4.57,4.57,4.57,4.83,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48006,Arantzazu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48093,Areatza,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,30.41,31.41,37.17,37.17,37.17,37.17,37.17,37.17,39.0,39.0,39.0
20013,Aretxabaleta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.65,12.65,12.65,12.65,12.65,12.65,12.65,19.85,20.36
01006,Armiñón,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,15.24,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78
01037,Arraia-Maeztu,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.14,6.29,6.29,6.29,6.31,6.31,6.31,6.31,10.63,6.32
48009,Arrankudiaga,4.23,4.21,3.88,3.88,3.86,3.86,3.86,3.86,3.86,4.27,5.06,5.24,5.14,12.79,12.79,12.79,12.79,12.79,20.49
20055,Arrasate/Mondragón,6.15,6.15,6.15,6.15,6.15,6.15,16.5,16.5,16.5,20.11,19.57,38.17,38.17,38.17,37.89,37.89,37.38,17.63,15.86
48914,Arratzu,3.33,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01008,Arratzua-Ubarrundia,17.27,17.27,17.27,26.19,26.19,26.19,26.19,26.19,26.19,25.62,22.05,22.05,21.92,21.92,21.92,22.05,21.92,22.05,22.05
48010,Arrieta,13.98,13.98,13.98,13.98,13.98,13.98,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48011,Arrigorriaga,6.8,6.8,6.8,6.8,6.8,6.8,11.19,11.19,11.19,14.16,27.51,27.51,27.51,27.51,27.51,27.51,27.51,27.51,32.04
48023,Artea,18.89,18.89,19.49,19.49,19.49,19.49,19.49,19.49,19.49,19.48,17.11,17.11,17.11,17.11,17.43,17.43,17.43,17.43,18.31
48008,Artzentales,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,9.88,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52
01004,Artziniega,28.47,33.79,33.79,33.79,33.79,33.79,33.79,33.79,33.79,34.46,37.16,17.35,17.35,17.35,17.35,17.35,17.35,17.35,17.35
