Territorio,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Araba,45.48,37.3,36.91,35.33,32.37,29.8,27.56,22.75,21.98,24.04,30.83,28.93,37.92,37.7,45.09,53.05,57.82,59.66,61.13
Bizkaia,69.39,52.36,55.16,54.52,49.71,45.26,43.63,37.45,37.59,36.69,42.55,40.66,40.56,39.85,41.92,38.33,37.74,37.07,35.16
CAE,62.66,50.71,52.55,51.59,46.32,42.47,40.32,34.1,34.1,33.74,40.56,38.5,40.7,40.76,44.03,43.33,44.08,43.64,41.13
Gipuzkoa,59.93,54.29,55.6,54.38,47.32,43.81,40.86,33.89,34.01,33.4,41.74,39.31,42.18,43.62,47.02,47.22,48.41,47.4,42.16
