Territorio,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Araba,2.91,1.89,0.73,0.39,0.0,1.55,1.73,5.37,3.38,3.1,2.07,8.77,13.71,14.37,7.94,7.68,7.67
Bizkaia,0.71,1.13,1.06,1.27,1.47,1.74,1.78,1.03,2.1,2.24,3.68,3.45,3.47,3.17,2.19,2.99,2.44
CAE,0.94,1.02,0.89,0.97,1.08,1.42,1.56,1.58,2.33,2.39,3.34,3.76,4.83,4.71,3.23,3.52,3.45
Gipuzkoa,0.67,0.59,0.66,0.66,0.78,0.84,1.13,1.38,2.4,2.42,3.24,2.34,3.22,2.62,2.34,1.99,2.34
