Indicadores municipales de sostenibilidad: Mujeres candidatas en elecciones municipales (% sobre total personas candidatas);;;;;;;;;;
"";;;;;;;;;;
Resumen de datos;;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995;1991
48023;Artea;64,29;51,43;39,29;42,86;46,43;46,43;42,86;33,33;33,33
48008;Artzentales;50,00;42,86;38,10;42,86;38,10;21,43;28,57;23,81;14,29
01004;Artziniega;47,22;52,78;50,00;41,67;42,59;28,89;40,00;37,04;29,63
01009;Asparrena;41,67;41,67;35,19;32,14;30,56;32,84;25,40;35,19;30,16
20014;Asteasu;48,15;40,74;25,93;24,44;42,86;37,04;29,63;22,22;11,11
20903;Astigarraga;47,69;48,08;46,15;47,73;29,09;31,11;38,64;27,27;34,55
20015;Ataun;37,04;37,04;40,74;36,11;22,22;38,89;33,33;33,33;22,22
48091;Atxondo;47,22;41,67;41,67;36,11;31,11;25,93;42,22;16,67;19,44
48070;Aulesti;42,86;42,86;42,86;39,29;33,33;35,71;42,86;28,57;14,29
01010;Ayala/Aiara;54,55;49,09;43,64;45,45;32,73;36,36;21,82;20,00;22,73
20017;Azkoitia;47,06;51,76;49,41;50,00;49,58;39,33;36,47;34,31;34,26
20018;Azpeitia;47,06;49,02;44,12;48,04;42,16;27,54;31,76;32,35;22,73
01049;Añana;23,08;28,57;20,00;37,50;15,38;16,67;15,79;23,53;14,29
48012;Bakio;50,00;49,09;38,18;43,18;46,97;40,00;60,00;33,33;40,43
20904;Baliarrain;20,00;40,00;37,50;10,00;0,00;30,00;0,00;0,00;0,00
48090;Balmaseda;49,23;46,15;49,23;50,00;43,59;38,46;36,26;29,67;26,92
48013;Barakaldo;48,61;48,15;45,68;46,67;46,00;41,00;39,33;34,72;34,55
48014;Barrika;48,15;48,15;47,62;42,86;46,67;37,04;40,00;25,71;31,43
01013;Barrundia;42,86;39,29;38,10;50,00;45,71;42,86;34,29;34,29;4,76
48015;Basauri;50,79;51,19;50,34;47,62;46,03;35,24;38,89;34,86;30,67
01011;Baños de Ebro/Mañueta;23,81;33,33;19,05;23,81;19,05;32,14;19,05;23,81;7,14
20019;Beasain;47,06;50,00;48,53;44,54;49,41;38,24;30,59;32,35;31,37
48092;Bedia;50,00;47,22;38,89;39,29;39,29;50,00;40,00;33,33;40,74
20020;Beizama;30,00;40,00;40,00;40,00;70,00;20,00;40,00;13,33;5,26
20021;Belauntza;42,86;33,33;28,57;53,57;39,29;44,83;28,57;21,43;7,14
48016;Berango;47,69;47,44;50,00;50,77;46,15;39,62;36,36;27,27;15,15
01014;Berantevilla;38,10;19,05;19,05;39,29;47,62;46,43;38,10;28,57;14,29
20022;Berastegi;48,15;48,15;37,04;66,67;44,44;28,57;14,29;9,52;4,76
20074;Bergara;47,06;48,24;44,71;47,50;45,38;31,76;38,82;29,41;17,80
48017;Bermeo;47,06;47,06;49,02;42,35;45,88;43,53;40,20;47,06;32,94
01016;Bernedo;39,29;42,86;35,71;38,10;39,29;34,48;35,71;19,05;17,86
48018;Berriatua;51,85;41,67;38,89;30,56;44,44;42,86;28,57;22,22;25,00
48019;Berriz;49,09;49,09;47,73;50,00;48,48;43,18;32,73;27,27;27,27
20023;Berrobi;42,86;42,86;42,86;64,29;42,86;32,14;28,57;14,29;15,00
20024;Bidania-Goiatz;33,33;38,10;33,33;46,43;28,57;21,43;14,29;19,05;14,81
48020;Bilbao;50,66;50,00;48,28;48,51;47,59;39,37;38,79;33,72;30,77
48021;Busturia;47,22;44,44;41,67;47,22;50,00;33,33;26,67;30,56;26,67
01017;Campezo/Kanpezu;44,44;55,56;50,00;40,00;44,44;35,56;33,33;20,37;29,63
20029;Deba;49,23;46,15;49,23;47,25;48,35;33,85;41,03;27,69;28,07
48901;Derio;51,92;50,00;50,00;50,77;46,15;33,93;31,82;25,76;30,77
48026;Dima;50,00;48,89;48,15;41,67;40,74;44,44;33,33;27,78;22,22
20069;Donostia / San Sebastián;51,52;49,07;48,77;46,83;47,09;40,74;50,00;44,91;33,33
48027;Durango;52,38;51,59;49,52;45,24;46,94;33,59;33,33;30,95;31,97
48028;Ea;32,14;60,71;50,00;39,29;47,62;48,39;42,86;38,10;32,14
20030;Eibar;50,48;49,52;49,52;44,90;46,15;42,86;43,81;38,89;29,25
48031;Elantxobe;38,10;42,86;57,14;32,14;61,90;57,14;61,90;71,43;50,00
01021;Elburgo/Burgelu;53,57;53,57;47,62;47,62;52,38;35,71;46,15;57,14;20,00
01022;Elciego;39,29;40,74;37,04;30,56;35,71;35,71;35,71;29,73;25,71
20031;Elduain;60,00;60,00;60,00;60,00;40,00;60,00;20,00;30,00;14,29
20033;Elgeta;51,85;51,85;55,56;46,67;55,56;28,57;46,43;42,86;43,33
20032;Elgoibar;48,24;45,88;47,06;47,06;47,06;35,71;30,39;33,33;24,71
48032;Elorrio;47,69;52,31;47,69;48,72;46,15;32,69;24,62;24,62;37,18
01023;Elvillar/Bilar;52,38;42,86;33,33;19,05;23,81;28,57;9,52;7,14;0,00
48902;Erandio;48,41;48,21;46,94;47,62;43,81;30,95;36,19;30,61;29,10
48033;Ereño;28,57;33,33;47,37;32,14;35,71;35,71;28,57;28,57;42,86
48034;Ermua;45,54;47,06;44,54;44,71;44,71;35,29;32,94;35,29;35,29
20067;Errenteria;50,48;49,52;47,62;47,62;41,27;37,65;38,10;41,27;34,39
20066;Errezil;42,86;35,71;57,14;50,00;33,33;33,33;28,57;7,14;4,76
01046;Erriberagoitia/Ribera Alta;50,00;50,00;45,71;28,57;17,86;14,29;37,14;10,71;2,86
48079;Errigoiti;57,14;57,14;42,86;46,43;42,86;42,86;23,81;19,05;33,33
20034;Eskoriatza;47,73;49,09;49,09;47,06;40,26;30,36;33,33;21,21;15,49
48029;Etxebarri;45,88;47,06;45,88;47,44;44,87;31,87;34,62;35,90;29,81
48030;Etxebarria;57,14;42,86;42,86;35,71;19,05;35,71;28,57;35,71;42,86
20035;Ezkio-Itsaso;42,86;35,71;21,43;28,57;33,33;21,43;28,57;35,71;35,71
48906;Forua;35,71;42,86;47,62;42,22;42,86;39,29;42,86;28,57;17,86
48035;Fruiz;46,43;62,96;57,14;42,86;42,86;42,86;42,86;28,57;20,83
20038;Gabiria;42,86;42,86;28,57;42,86;38,10;25,00;14,29;21,43;14,29
20037;Gaintza;20,00;20,00;20,00;30,00;50,00;30,00;0,00;0,00;11,11
48036;Galdakao;47,09;51,19;46,26;45,83;45,71;30,59;32,54;29,25;25,85
48037;Galdames;46,43;42,86;35,71;35,71;25,71;14,29;20,00;10,71;20,00
48038;Gamiz-Fika;44,44;47,22;37,04;47,22;53,33;33,33;27,78;33,33;12,50
48039;Garai;33,33;42,86;42,86;39,29;23,81;28,57;20,00;21,43;23,81
48040;Gatika;42,22;42,22;46,67;37,78;37,04;35,56;22,22;23,81;16,67
48041;Gautegiz Arteaga;50,00;44,44;42,86;42,86;48,57;45,71;39,29;28,57;19,05
20907;Gaztelu;80,00;40,00;26,67;80,00;33,33;26,67;10,00;20,00;
48046;Gernika-Lumo;42,16;48,53;48,53;46,08;46,08;37,65;34,31;27,06;27,62
20039;Getaria;42,42;42,42;47,73;43,64;40,00;41,30;54,55;45,45;30,30
48044;Getxo;49,50;49,82;47,00;46,00;45,33;40,80;38,67;32,67;36,82
48047;Gizaburuaga;40,00;60,00;60,00;30,00;50,00;40,00;30,00;30,00;30,00
48042;Gordexola;47,22;38,89;40,00;45,65;40,00;37,78;38,18;22,22;25,93
48043;Gorliz;49,23;49,23;50,55;50,00;48,72;40,00;34,85;48,48;27,27
48045;Güeñes;47,69;50,77;46,15;47,69;47,69;30,77;26,92;27,69;29,23
01056;Harana/Valle de Arana;15,38;20,00;38,10;35,71;33,33;39,29;17,86;10,71;25,71
20040;Hernani;51,43;50,48;47,06;43,70;42,16;26,47;30,59;28,43;33,33
20041;Hernialde;28,57;28,57;28,57;57,14;57,14;35,71;21,43;14,29;14,29
20036;Hondarribia;49,41;46,08;47,06;46,22;43,70;34,09;35,29;40,20;31,37
20042;Ibarra;47,73;48,48;43,18;44,64;29,09;27,66;31,82;22,73;25,45
48048;Ibarrangelu;46,43;46,43;32,14;40,00;50,00;42,86;38,10;21,43;32,26
20043;Idiazabal;42,42;42,42;27,27;29,55;27,27;33,33;34,09;27,27;18,18
48094;Igorre;49,09;47,73;50,00;47,27;35,06;30,91;36,36;23,64;20,45
20044;Ikaztegieta;52,38;38,10;35,71;32,14;32,14;42,86;28,57;28,57;28,57
20045;Irun;50,29;48,57;47,00;46,00;47,50;36,80;38,40;36,00;34,00
20046;Irura;44,44;51,85;51,85;33,33;55,56;57,14;14,29;35,71;42,86
