Indicadores municipales de sostenibilidad: Mujeres electas en elecciones municipales (% sobre total personas electas);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995
20015;Ataun;33,33;44,44;44,44;33,33;33,33;22,22;33,33;33,33
48091;Atxondo;33,33;44,44;33,33;33,33;22,22;11,11;11,11;0,00
48070;Aulesti;57,14;57,14;57,14;42,86;14,29;14,29;42,86;28,57
01010;Ayala/Aiara;54,55;54,55;36,36;45,45;36,36;18,18;9,09;9,09
20017;Azkoitia;58,82;52,94;41,18;41,18;58,82;35,29;29,41;41,18
20018;Azpeitia;47,06;47,06;47,06;47,06;35,29;35,29;23,53;17,65
01049;Añana;40,00;40,00;20,00;20,00;0,00;0,00;20,00;40,00
48012;Bakio;54,55;45,45;18,18;36,36;45,45;22,22;22,22;11,11
20904;Baliarrain;20,00;40,00;40,00;20,00;0,00;0,00;0,00;0,00
48090;Balmaseda;38,46;38,46;30,77;30,77;38,46;23,08;7,69;7,69
48013;Barakaldo;40,74;44,44;48,15;48,00;52,00;40,00;44,00;33,33
48014;Barrika;44,44;44,44;11,11;22,22;22,22;33,33;44,44;14,29
01013;Barrundia;28,57;42,86;42,86;57,14;28,57;42,86;28,57;28,57
48015;Basauri;57,14;47,62;42,86;47,62;47,62;38,10;38,10;20,00
01011;Baños de Ebro/Mañueta;14,29;28,57;14,29;0,00;0,00;14,29;0,00;14,29
20019;Beasain;47,06;47,06;52,94;41,18;47,06;23,53;29,41;23,53
48092;Bedia;44,44;55,56;66,67;42,86;42,86;42,86;28,57;22,22
20020;Beizama;20,00;40,00;40,00;40,00;60,00;40,00;40,00;40,00
20021;Belauntza;28,57;40,00;28,57;28,57;57,14;42,86;42,86;14,29
48016;Berango;61,54;46,15;61,54;46,15;53,85;46,15;27,27;18,18
01014;Berantevilla;28,57;14,29;0,00;14,29;42,86;57,14;57,14;28,57
20022;Berastegi;44,44;55,56;33,33;55,56;33,33;0,00;14,29;0,00
20074;Bergara;41,18;47,06;41,18;52,94;35,29;11,76;23,53;23,53
48017;Bermeo;47,06;47,06;47,06;41,18;35,29;17,65;35,29;23,53
01016;Bernedo;14,29;42,86;28,57;28,57;28,57;28,57;57,14;14,29
48018;Berriatua;44,44;55,56;44,44;22,22;44,44;42,86;28,57;22,22
48019;Berriz;45,45;45,45;36,36;45,45;45,45;45,45;45,45;45,45
20023;Berrobi;28,57;42,86;57,14;28,57;42,86;28,57;28,57;14,29
20024;Bidania-Goiatz;57,14;42,86;28,57;28,57;0,00;0,00;14,29;0,00
48020;Bilbao;51,72;48,28;48,28;51,72;41,38;34,48;31,03;17,24
48021;Busturia;55,56;66,67;33,33;66,67;44,44;33,33;22,22;22,22
01017;Campezo/Kanpezu;44,44;55,56;55,56;33,33;22,22;11,11;0,00;11,11
20029;Deba;46,15;38,46;38,46;38,46;33,33;38,46;38,46;7,69
48901;Derio;53,85;61,54;53,85;30,77;23,08;18,18;18,18;27,27
48026;Dima;55,56;44,44;44,44;44,44;44,44;44,44;11,11;22,22
20069;Donostia / San Sebastián;48,15;51,85;44,44;37,04;48,15;37,04;33,33;33,33
48027;Durango;52,38;61,90;42,86;38,10;42,86;33,33;23,81;23,81
48028;Ea;42,86;42,86;28,57;57,14;28,57;57,14;42,86;42,86
20030;Eibar;52,38;52,38;47,62;57,14;47,62;52,38;38,10;33,33
48031;Elantxobe;57,14;28,57;57,14;14,29;57,14;57,14;57,14;42,86
01021;Elburgo/Burgelu;57,14;85,71;57,14;57,14;57,14;42,86;40,00;40,00
01022;Elciego;57,14;44,44;11,11;11,11;14,29;14,29;14,29;0,00
20031;Elduain;60,00;60,00;60,00;20,00;25,00;80,00;20,00;20,00
20033;Elgeta;44,44;55,56;55,56;44,44;44,44;28,57;42,86;42,86
20032;Elgoibar;52,94;47,06;47,06;35,29;29,41;41,18;35,29;23,53
48032;Elorrio;53,85;53,85;38,46;46,15;46,15;15,38;15,38;0,00
01023;Elvillar/Bilar;57,14;42,86;28,57;14,29;14,29;14,29;14,29;14,29
48902;Erandio;52,38;47,62;47,62;52,38;33,33;33,33;28,57;14,29
48033;Ereño;42,86;20,00;20,00;28,57;42,86;42,86;28,57;42,86
48034;Ermua;35,29;47,06;35,29;35,29;41,18;23,53;23,53;29,41
20067;Errenteria;52,38;57,14;42,86;42,86;38,10;33,33;38,10;33,33
20066;Errezil;57,14;42,86;57,14;42,86;28,57;14,29;14,29;0,00
01046;Erriberagoitia/Ribera Alta;42,86;28,57;28,57;28,57;14,29;0,00;0,00;14,29
48079;Errigoiti;71,43;71,43;57,14;57,14;57,14;28,57;14,29;14,29
20034;Eskoriatza;45,45;45,45;45,45;27,27;27,27;18,18;18,18;18,18
48029;Etxebarri;47,06;35,29;23,53;38,46;38,46;23,08;23,08;30,77
48030;Etxebarria;57,14;42,86;28,57;28,57;28,57;28,57;42,86;42,86
20035;Ezkio-Itsaso;42,86;28,57;14,29;28,57;42,86;28,57;14,29;42,86
48906;Forua;42,86;57,14;71,43;55,56;42,86;28,57;42,86;14,29
48035;Fruiz;71,43;85,71;57,14;42,86;42,86;42,86;42,86;28,57
20038;Gabiria;28,57;42,86;28,57;28,57;42,86;28,57;14,29;14,29
20037;Gaintza;20,00;20,00;20,00;0,00;20,00;0,00;0,00;0,00
48036;Galdakao;38,10;42,86;52,38;42,86;38,10;28,57;38,10;28,57
48037;Galdames;42,86;28,57;28,57;14,29;0,00;0,00;0,00;0,00
48038;Gamiz-Fika;55,56;55,56;55,56;66,67;44,44;22,22;33,33;28,57
48039;Garai;14,29;28,57;28,57;28,57;14,29;14,29;20,00;14,29
