Entidad,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Araba,15138.06348,12334.8116,12187.275989999998,11666.28397,10616.29179,9700.4364,8918.19552,7333.12125,7072.65846,7693.56928,9873.80078
Bizkaia,79383.47841,59648.98324,63109.82468,62645.87888,56811.22263,51626.36212,49713.15638,42650.00740000001,42906.80478,41981.21165999999,48966.19959999999
CAE,137648.0417,110878.27707,115252.60744999998,113483.09049,101348.94744,92603.66903,87729.02208,74061.3126,74106.461,73312.86998,88378.17143999999
Gipuzkoa,43142.10875,38905.08264,39970.1172,39178.50604,33937.76204,31292.12489,29125.04886,24085.58911,24146.79391,23668.2754,29547.37034
