Entidad,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Araba,9873.80078,7693.56928,7072.65846,7333.12125,8918.19552,9700.4364,10616.29179,11666.28397,12187.275989999998,12334.8116,15138.06348
Bizkaia,48966.19959999999,41981.21165999999,42906.80478,42650.00740000001,49713.15638,51626.36212,56811.22263,62645.87888,63109.82468,59648.98324,79383.47841
CAE,88378.17143999999,73312.86998,74106.461,74061.3126,87729.02208,92603.66903,101348.94744,113483.09049,115252.60744999998,110878.27707,137648.0417
Gipuzkoa,29547.37034,23668.2754,24146.79391,24085.58911,29125.04886,31292.12489,33937.76204,39178.50604,39970.1172,38905.08264,43142.10875
